Title,Published_date,Views,Likes,Dislikes,Comments,Month
Android 15 Hands-On: Top 5 Features!,5/28/2024,2246151,95997,0,5660,May
I Gave A Commencement Speech!,5/23/2024,1108511,77930,0,3703,May
5 Weird iPad Pro (M4) Decisions,5/22/2024,3548426,117214,0,5871,May
M4 iPad vs MAGNETS,5/16/2024,2841809,116724,0,867,May
M4 iPad Pro Impressions: Well This is Awkward,5/8/2024,6032186,182924,0,12912,May
Google Pixel 8A Impressions: Just Get The 8!,5/7/2024,2372417,82345,0,4515,May
Rabbit R1: Barely Reviewable,4/30/2024,7614335,229832,0,21640,Apr
New AI Feature: Gaslighting 🫣,4/26/2024,3668177,181652,0,3598,Apr
I Tried a Disney Secret Project!,4/26/2024,6735321,272629,0,7362,Apr
"$20K vs $2,000,000 Hybrid Car!",4/22/2024,2928681,89609,0,3736,Apr
Tesla Cybertruck Recall (PSA),4/19/2024,2795086,123101,0,2837,Apr
NEW Boston Dynamics Robot 🫣,4/17/2024,2303794,115778,0,4212,Apr
Do Bad Reviews Kill Companies?,4/16/2024,4211859,234657,0,18775,Apr
The Worst Product I've Ever Reviewed... For Now,4/14/2024,7679827,231247,0,19271,Apr
"Is the iPhone ""Illegal?""",4/7/2024,3528285,137388,0,13770,Apr
Studio_Tour_Outtake_DONOTPUBLISH.mp4,4/1/2024,1005984,46142,0,755,Apr
Tesla Cybertruck Review: Already Iconic?,3/29/2024,3582225,122186,0,10520,Mar
Here's the Thing about the M3 Macbook Air...,3/20/2024,3810380,101768,0,5362,Mar
Small Phones are Dead and We Killed Them,3/14/2024,3307502,124235,0,12674,Mar
Nothing Phone 2A Review: Flashy Good Deal!,3/5/2024,2605776,89981,0,4121,Mar
Reviewing EVERY Samsung Galaxy S Ever!,3/2/2024,3514753,121612,0,10791,Mar
OnePlus Watch 2 Review: Total Redemption!,2/27/2024,2154537,71177,0,3055,Feb
This Airless Basketball is 3D Printed!,2/19/2024,17465582,783846,0,10672,Feb
AI Generated Videos Just Changed Forever,2/16/2024,8343704,321981,0,24269,Feb
Apple Vision Pro is Missing Something...,2/13/2024,3425497,106084,0,7406,Feb
Apple Vision Pro Hidden Feature ✈️ #protip,2/9/2024,4962995,221402,0,1398,Feb
OnePlus 12 Review: Better Than You Think!,2/9/2024,2999897,87239,0,4852,Feb
In case you’re having a bad day,2/4/2024,3444022,214779,0,3916,Feb
Apple Vision Pro Review: Tomorrow's Ideas... Today's Tech!,2/4/2024,8013172,208761,0,11972,Feb
Using Apple Vision Pro: What It’s Actually Like!,1/31/2024,26586054,563070,0,32853,Jan
$3500 Apple Vision Pro: What Comes in the Box!,1/30/2024,5787150,248433,0,1779,Jan
Apple Vision Pro Unboxing!,1/30/2024,8681416,345741,0,13523,Jan
Samsung Galaxy S24 Ultra Review: Why Buy Anything Else?,1/26/2024,8292049,242147,0,18304,Jan
Taking 1000 Steps  In Every Smartwatch!,1/19/2024,12070867,468769,0,3720,Jan
"On ""Quitting"" YouTube",1/19/2024,5275303,204508,0,12529,Jan
Samsung Galaxy S24/Ultra Impressions: More Than Meets The Eye!,1/17/2024,4914544,168230,0,9176,Jan
Can A Gaming Phone Go Mainstream?,1/16/2024,1860463,76007,0,3600,Jan
The Blind Smartphone Camera Test Winners!,1/9/2024,2483966,121262,0,8589,Jan
2024 Tech I'm Ready For!,1/3/2024,3051629,102857,0,5158,Jan
iPhone 15 Pro: 3 Months Later!,12/28/2023,5237324,169346,0,8527,Dec
These AI Glasses are Crazy!,12/21/2023,3566251,164003,0,2638,Dec
Smartphone Awards 2023!,12/19/2023,5544092,207690,0,12567,Dec
The Worst Hot Takes in Tech,12/16/2023,2815792,95882,0,6084,Dec
Formula One: Explained!,12/11/2023,4375455,160791,0,6089,Dec
Why Don't More Smartphones Have This?,12/7/2023,3106476,111410,0,4684,Dec
Cybertruck vs EUROPE,12/4/2023,3479873,163564,0,6021,Dec
Driving Tesla Cybertruck: Everything You Need to Know!,12/1/2023,20990520,441910,0,41250,Dec
This Smartwatch is $69!,11/22/2023,3514570,89103,0,4444,Nov
Electric Scooter INSIDE a Briefcase!,11/20/2023,9945399,450161,0,6054,Nov
iPhone Gets RCS! With a Catch...,11/16/2023,1086080,58636,0,1065,Nov
"To Beat the iPhone, You Must... Be the iPhone?",11/14/2023,3232620,120170,0,8933,Nov
Space Black M3 Max MacBook Pro Review: We Can Game Now?!,11/9/2023,3825658,104244,0,5002,Nov
Introducing 251.1!,11/9/2023,1097941,60602,0,1238,Nov
Apple Math 🍎,11/6/2023,6150094,322126,0,4272,Nov
M3 Macbook Pro Impressions: Is It Enough?,10/31/2023,3897232,123453,0,4868,Oct
Pixel Watch 2 is Actually… Good?,10/28/2023,2474585,126631,0,826,Oct
THIS over a Galaxy S23?,10/26/2023,6223498,303895,0,3443,Oct
OnePlus Open is Awesome - What's Happening with Folding Phones?!,10/19/2023,4763263,125281,0,8568,Oct
The Vision for Mixed Reality: Now vs The Future!,10/17/2023,2573176,80363,0,4120,Oct
The Cybertruck Scooter,10/12/2023,9219704,435046,0,8845,Oct
Google Pixel 8/8 Pro Review: We'll Fix It In Post!,10/11/2023,4350223,134169,0,5981,Oct
The BENDABLE Ultrawide Monitor 👀,10/7/2023,6627700,409892,0,2616,Oct
Can You Trust Google?,10/6/2023,2144781,102575,0,7270,Oct
Your Phone Plan Costs More Than You Think #visiblewireless #visible_partner,10/6/2023,1381274,46710,0,1773,Oct
Google Pixel 8/8 Pro Impressions: Software Magic!,10/4/2023,4734706,168248,0,8396,Oct
PSA: Your Phone Will Ring Today,10/3/2023,2466171,125116,0,3257,Oct
iPhone 15 Review: Welcome to the Club!,10/2/2023,5253916,142298,0,9027,Oct
"iPhone 15 Pro Review: The Good, The Bad, & The Ugly!",9/28/2023,9285844,244355,0,17905,Sep
iPhone Update PSA,9/22/2023,5034775,277705,0,4987,Sep
